k,alpha,beta,size,edge_num,ngil,nsil,num_of_clusters,time,method,seed
10,0.5,1.0,300,6084,0.3258,0.0427,30,68.8441,Classification_Metric,4
10,0.5,1.0,500,36254,0.3029,0.0314,50,749.9534,Classification_Metric,4
10,0.5,0.5,100,362,0.4146,0.1345,10,1.8284,Classification_Metric,4
10,0.5,0.5,300,6084,0.3391,0.0424,30,69.9431,Classification_Metric,4
10,0.5,0.5,500,36254,0.3002,0.0315,50,756.6651,Classification_Metric,4
10,1.0,1.0,100,362,0.4146,0.1345,10,1.8101,Classification_Metric,4
10,1.0,1.0,300,6084,0.3391,0.0424,30,70.7809,Classification_Metric,4
10,1.0,1.0,500,36254,0.3002,0.0315,50,765.3958,Classification_Metric,4
2,1.0,0.0,100,362,0.0975,0.0,50,1.3327,Normalized_Certainty_Penalty,4
2,1.0,0.0,300,6084,0.065,0.0001,150,21.8735,Normalized_Certainty_Penalty,4
2,1.0,0.0,500,36254,0.0577,0.0,250,173.507,Normalized_Certainty_Penalty,4
2,1.0,0.5,100,362,0.0909,0.0,50,1.4176,Normalized_Certainty_Penalty,4
2,1.0,0.5,300,6084,0.065,0.0,150,21.4075,Normalized_Certainty_Penalty,4
2,1.0,0.5,500,36254,0.0628,0.0,250,147.8511,Normalized_Certainty_Penalty,4
2,0.5,1.0,100,362,0.0963,0.0,50,1.3994,Normalized_Certainty_Penalty,4
2,0.5,1.0,300,6084,0.0704,0.0,150,20.6904,Normalized_Certainty_Penalty,4
2,0.5,1.0,500,36254,0.0716,0.0,250,143.5232,Normalized_Certainty_Penalty,4
2,0.5,0.5,100,362,0.0908,0.0,50,1.3584,Normalized_Certainty_Penalty,4
2,0.5,0.5,300,6084,0.0667,0.0,150,21.2006,Normalized_Certainty_Penalty,4
2,0.5,0.5,500,36254,0.0641,0.0,250,146.6726,Normalized_Certainty_Penalty,4
2,1.0,1.0,100,362,0.0908,0.0,50,1.3753,Normalized_Certainty_Penalty,4
2,1.0,1.0,300,6084,0.0667,0.0,150,20.7334,Normalized_Certainty_Penalty,4
2,1.0,1.0,500,36254,0.0641,0.0,250,147.703,Normalized_Certainty_Penalty,4
4,1.0,0.0,100,362,0.1771,0.0112,25,2.2592,Normalized_Certainty_Penalty,4
4,1.0,0.0,300,6084,0.1412,0.0024,75,46.7862,Normalized_Certainty_Penalty,4
4,1.0,0.0,500,36254,0.1264,0.0026,125,318.2156,Normalized_Certainty_Penalty,4
4,1.0,0.5,100,362,0.1933,0.0114,25,2.3152,Normalized_Certainty_Penalty,4
4,1.0,0.5,300,6084,0.1521,0.0029,75,44.862,Normalized_Certainty_Penalty,4
4,1.0,0.5,500,36254,0.1431,0.001,125,354.3917,Normalized_Certainty_Penalty,4
4,0.5,1.0,100,362,0.1757,0.0102,25,2.32,Normalized_Certainty_Penalty,4
4,0.5,1.0,300,6084,0.1679,0.0016,75,42.6033,Normalized_Certainty_Penalty,4
4,0.5,1.0,500,36254,0.161,0.0004,125,337.7355,Normalized_Certainty_Penalty,4
4,0.5,0.5,100,362,0.2005,0.0103,25,2.3401,Normalized_Certainty_Penalty,4
4,0.5,0.5,300,6084,0.1513,0.003,75,44.5127,Normalized_Certainty_Penalty,4
4,0.5,0.5,500,36254,0.1506,0.001,125,352.0519,Normalized_Certainty_Penalty,4
4,1.0,1.0,100,362,0.2005,0.0103,25,2.3327,Normalized_Certainty_Penalty,4
4,1.0,1.0,300,6084,0.1513,0.003,75,44.3874,Normalized_Certainty_Penalty,4
4,1.0,1.0,500,36254,0.1506,0.001,125,353.6096,Normalized_Certainty_Penalty,4
6,1.0,0.0,100,362,0.3597,0.043,16,3.2223,Normalized_Certainty_Penalty,4
6,1.0,0.0,300,6084,0.2092,0.008,50,65.1421,Normalized_Certainty_Penalty,4
6,1.0,0.0,500,36254,0.1759,0.0086,83,563.297,Normalized_Certainty_Penalty,4
6,1.0,0.5,100,362,0.3998,0.0413,16,3.2447,Normalized_Certainty_Penalty,4
6,1.0,0.5,300,6084,0.22,0.0102,50,63.4486,Normalized_Certainty_Penalty,4
6,1.0,0.5,500,36254,0.2064,0.0027,83,543.6518,Normalized_Certainty_Penalty,4
6,0.5,1.0,100,362,0.3939,0.0423,16,3.2299,Normalized_Certainty_Penalty,4
6,0.5,1.0,300,6084,0.2459,0.0044,50,60.7093,Normalized_Certainty_Penalty,4
6,0.5,1.0,500,36254,0.2484,0.0007,83,510.0971,Normalized_Certainty_Penalty,4
6,0.5,0.5,100,362,0.3797,0.0391,16,3.2319,Normalized_Certainty_Penalty,4
6,0.5,0.5,300,6084,0.2226,0.0119,50,63.2131,Normalized_Certainty_Penalty,4
6,0.5,0.5,500,36254,0.2092,0.0032,83,540.0929,Normalized_Certainty_Penalty,4
6,1.0,1.0,100,362,0.3797,0.0391,16,3.2023,Normalized_Certainty_Penalty,4
6,1.0,1.0,300,6084,0.2226,0.0119,50,63.0591,Normalized_Certainty_Penalty,4
6,1.0,1.0,500,36254,0.2092,0.0032,83,540.0737,Normalized_Certainty_Penalty,4
8,1.0,0.0,100,362,0.4482,0.0956,12,3.5019,Normalized_Certainty_Penalty,4
